,id,text
0,[1548732345934815232],"[""RT @IamSaurav_1: #JEEStudentsWantJustice \n@DG_NTA , You can't ignore the hard work, sacrifice of 2 years. Many stay away from our home for…""]"
1,[1548732345225969664],['RT @merlynsie: เดรสโค้ด dream show vs dream show 2 https://t.co/0F1v42FOCh']
2,[1548732344542105602],"[""RT @Fischsuppe6: maybe the future won't be so lonely...\n\n#quackityfanart #quackity #dsmpfanart #Karmaland https://t.co/HeyjspIIbG""]"
3,[1548732344210702338],['RT @DukeTheBBDuck: Jasmine is having a hard morning because she had a bad dream. Yes she will repeat it all day. It’s that tragic. #BB24']
4,[1548732343493578754],['RT @spicybabew: she’s a 10 but she is stressed everyday about her future']
5,[1548732343023976448],['RT @ljnchoco: wts / want to sell photocard jeno \n\njeno luggage dreaming putih 100k\njeno 4x6 lets play ball universe 125k [set with postcard…']
6,[1548732342935511042],['RT @imreal_hasan_: RISHABH PANT has a very bright future ahead.\n\nPRATIK THE PERFORMER']
7,[1548732342562201600],"['RT @HoustonChron: Opinion: When Abbott, Patrick and Paxton attack Texas women, they attack Texas’ future https://t.co/vHtCTJTcbo']"
8,[1548732341975240706],['RT @cangurusdeudi: Números da nossa Carol na VNL 2022! \n\nA maior bloqueadora da história da competição cravou seu lugar no dream team. Infe…']
9,[1548732341555716096],"[""@LiveArtX and @BNBChain jointly launched an artists' feast HackARThon: LiveArtX Global 100 and is giving away 5,000 Golden Passes, which contain $ART token and future WLs of the art event.  #NFTgiveaway #giveaway #airdrop #freemint #art #artists https://t.co/OQq54JfnzH""]"
