,id,text
0,[1548734136961073160],['RT @tracklist: Álbuns da década de 2020 mais vendidos mundialmente:\n\n1. “Future Nostalgia” - Dua Lipa (12.03M)\n2. “BE” - BTS (11.38M)\n3. “A…']
1,[1548734136944320513],"['RT @Makavelli275: Omo, this video is giving me mad joy. \n\nWith Peter Obi, at the helm, e sure me die say we won’t be eating agbado and cass…']"
2,[1548734136331907073],['RT @Praveen66420556: #JEEAspirantsFutureMatters Why do students have to yell everything for justice? You are making it really difficult for…']
3,[1548734135858249728],"[""RT @gyumedia: 🐶 you worked hard for today, and i worked hard, too! even if today was a tough day for us, we're going to be happier in the f…""]"
4,[1548734135807709184],['@BBC_Future Oh yeah. Exactly what we need. First pesticides killing bees and now pollen just… poof. Exciting times 🙄']
5,[1548734135316799488],"['RT @Makavelli275: Omo, this video is giving me mad joy. \n\nWith Peter Obi, at the helm, e sure me die say we won’t be eating agbado and cass…']"
6,[1548734135103111168],['RT @DanielVibezz: No matter what u are doing this life...\n\nPls avoid relationship at an early age 🙏... It will affect ur Present and future…']
7,[1548734134712815617],"[""RT @ThePradeepRawat: सीधी बात: it's a matter of the future of Students,\nConsidering the circumstances that Literally made,\n the 1st attempt…""]"
8,[1548734134083674112],"['@StayHungryPT @sturmjunge Am I doing something wrong? I’m still not vaxxed from this covid! In 2019 I had an odd dream about these times we are going through, my dream said don’t get vaccinated 😒 The world has gone NUTS! The info coming out is sad. Logically I’m going to rely on my own intuition!']"
9,[1548734133777620995],['RT @spicybabew: she’s a 10 but she is stressed everyday about her future']
